,,Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,,,CO_360:0000063,HC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000060,H content,Biochemical trait,H content,,HC,,Kelp,H content,,,CO_360:0000061,H content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000062,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000067,NC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000064,N content,Biochemical trait,N content,,NC,,Kelp,N content,,,CO_360:0000065,N content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000066,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000071,LIC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000068,Li content,Biochemical trait,Li content,,LIC,,Kelp,Li content,,,CO_360:0000069,Li content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000070,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000075,NAC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000072,Na content,Biochemical trait,Na content,,NAC,,Kelp,Na content,,,CO_360:0000073,Na content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000074,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000079,MGC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000076,Mg content,Biochemical trait,Mg content,,MGC,,Kelp,Mg content,,,CO_360:0000077,Mg content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000078,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000083,OC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000080,O content,Biochemical trait,O content,,OC,,Kelp,O content,,,CO_360:0000081,O content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000082,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000087,CLC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000084,Cl content,Biochemical trait,Cl content,,CLC,,Kelp,Cl content,,,CO_360:0000085,Cl content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000086,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000091,CAC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000088,Ca content,Biochemical trait,Ca content,,CAC,,Kelp,Ca content,,,CO_360:0000089,Ca content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000090,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000095,SOC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000092,SO content,Biochemical trait,SO content,,SOC,,Kelp,SO content,,,CO_360:0000093,SO content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000094,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000099,FEC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000096,Fe content,Biochemical trait,Fe content,,FEC,,Kelp,Fe content,,,CO_360:0000097,Fe content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000098,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000103,COC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000100,Co content,Biochemical trait,Co content,,COC,,Kelp,Co content,,,CO_360:0000101,Co content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000102,mg,Numerical,2,,,,,,,,,,,,,
,,,CO_360:0000107,CUC_M_mg,,Trial evaluation,Around 6 months post-planting,,,Cornell University,,15-Feb-2018,English,Sugar Kelp,CO_360:0000104,Cu content,Biochemical trait,Cu content,,CUC,,Kelp,Cu content,,,CO_360:0000105,Cu content  - Measurement,Measurement,"Ionomics facility, Donald Danforth Center",,,CO_360:0000106,mg,Numerical,2,,,,,,,,,,,,,
